original/ratio/verb/c4first/1/mask
|                          |   ave-alpha |   ave-n_pred_lus_c4 |   ave-n_pred_clusters |   ave-n_pred_clusters_c4 |   ave-pu |   ave-ipu |   ave-puf |   ave-bcp |   ave-bcr |   ave-bcf |
|                          |   ave-alpha |   ave-n_pred_lus_c4 |   ave-n_pred_clusters |   ave-n_pred_clusters_c4 |   ave-pu |   ave-ipu |   ave-puf |   ave-bcp |   ave-bcr |   ave-bcf |
|:-------------------------|------------:|--------------------:|----------------------:|-------------------------:|---------:|----------:|----------:|----------:|----------:|----------:|
| 1_vanilla                |           1 |               nan   |                 404   |                    781.3 |     25.7 |      34.8 |      29.6 |      15   |      20.1 |      17.2 |
| 1_siamese_distance       |           1 |               nan   |                 425.7 |                   1017.3 |     26.1 |      40.1 |      31.6 |      14.2 |      25.6 |      18.3 |
| 1_triplet_distance       |           1 |               nan   |                 494.3 |                    864.3 |     34.3 |      43.9 |      38.5 |      19.8 |      28.3 |      23.2 |
| 1_softmax_classification |           1 |               nan   |                 425   |                   1072.7 |     29.3 |      51.3 |      37.3 |      15.2 |      36.1 |      21.4 |
| 1_arcface_classification |           1 |               nan   |                 502.3 |                    867.3 |     33.2 |      43.4 |      37.6 |      19.2 |      28   |      22.7 |
| 1_adacos_classification  |           1 |               nan   |                 477.3 |                   1120.3 |     32.6 |      47.7 |      38.7 |      17.8 |      32.1 |      22.9 |
| 2_vanilla                |           1 |               915.3 |                 393   |                    474   |     27   |      31.4 |      29   |      13.7 |      16.7 |      15   |
| 2_siamese_distance       |           1 |              2544   |                 442.3 |                    576.3 |     24.4 |      29   |      26.5 |      13.1 |      15.4 |      14.1 |
| 2_triplet_distance       |           1 |               979.7 |                 354.7 |                    437   |     30.2 |      33.4 |      31.7 |      16.5 |      17.8 |      17.1 |
| 2_softmax_classification |           1 |              1637.3 |                 526.3 |                    636.7 |     28.4 |      28.5 |      28.4 |      15.6 |      15.3 |      15.4 |
| 2_arcface_classification |           1 |               956.3 |                 381.7 |                    464.3 |     28.9 |      32.8 |      30.7 |      15.5 |      17.6 |      16.4 |
| 2_adacos_classification  |           1 |              1189   |                 398   |                    473.7 |     28.9 |      28.9 |      28.9 |      16   |      15.1 |      15.5 |


original/ratio/verb/c4first/2/wm
|                          |   ave-alpha |   ave-n_pred_lus_c4 |   ave-n_pred_clusters |   ave-n_pred_clusters_c4 |   ave-pu |   ave-ipu |   ave-puf |   ave-bcp |   ave-bcr |   ave-bcf |
|:-------------------------|------------:|--------------------:|----------------------:|-------------------------:|---------:|----------:|----------:|----------:|----------:|----------:|
| 1_vanilla                |      0      |               nan   |                 574.3 |                    867   |     53.5 |      49.4 |      51.3 |      40.3 |      36   |      38   |
| 1_siamese_distance       |      0.0667 |               nan   |                 486.3 |                    664.7 |     58.5 |      66.8 |      62.1 |      47   |      55.8 |      50.7 |
| 1_triplet_distance       |      0.2    |               nan   |                 533   |                    924   |     72.1 |      70.8 |      71.5 |      62.6 |      60.4 |      61.5 |
| 1_softmax_classification |      0.1    |               nan   |                 461.7 |                    723.3 |     67.9 |      76.5 |      72   |      55.7 |      66.4 |      60.6 |
| 1_arcface_classification |      0.2667 |               nan   |                 529   |                    819.7 |     70.8 |      69.6 |      70.1 |      61.1 |      58.9 |      59.9 |
| 1_adacos_classification  |      0.3667 |               nan   |                 494.3 |                    800.7 |     70.7 |      76.1 |      73.3 |      59.4 |      66.3 |      62.6 |
| 2_vanilla                |      0.6667 |               916.3 |                 351.7 |                    434   |     34.3 |      42.5 |      37.9 |      19.6 |      25.8 |      22.2 |
| 2_siamese_distance       |      0.2667 |              2544.3 |                 647.7 |                    834.3 |     66.6 |      63.9 |      65.2 |      56.4 |      52   |      54   |
| 2_triplet_distance       |      0.5333 |              1124.3 |                 348.3 |                    433.3 |     64.1 |      72.4 |      68   |      52.1 |      61.6 |      56.4 |
| 2_softmax_classification |      0.4667 |              1515.3 |                 704   |                    833.7 |     76.5 |      65.1 |      70.1 |      66.9 |      53.5 |      59.1 |
| 2_arcface_classification |      0.5667 |              1017.7 |                 344   |                    420.7 |     55.8 |      64.8 |      59.9 |      43.5 |      52.4 |      47.4 |
| 2_adacos_classification  |      0.5    |              1218.3 |                 500   |                    594.3 |     72.4 |      70.2 |      71.1 |      61.9 |      59.3 |      60.4 |


original/ratio/verb/c4first/2/word
|                          |   ave-alpha |   ave-n_pred_lus_c4 |   ave-n_pred_clusters |   ave-n_pred_clusters_c4 |   ave-pu |   ave-ipu |   ave-puf |   ave-bcp |   ave-bcr |   ave-bcf |
|:-------------------------|------------:|--------------------:|----------------------:|-------------------------:|---------:|----------:|----------:|----------:|----------:|----------:|
| 1_vanilla                |           0 |               nan   |                 574.3 |                    867   |     53.5 |      49.4 |      51.3 |      40.3 |      36   |      38   |
| 1_siamese_distance       |           0 |               nan   |                 477.3 |                    653   |     57.9 |      66.9 |      61.8 |      46.4 |      55.8 |      50.4 |
| 1_triplet_distance       |           0 |               nan   |                 539.3 |                    892.7 |     72.3 |      69.1 |      70.6 |      63.2 |      58.5 |      60.8 |
| 1_softmax_classification |           0 |               nan   |                 461.7 |                    711.3 |     67.8 |      76.4 |      71.8 |      55.6 |      66.1 |      60.4 |
| 1_arcface_classification |           0 |               nan   |                 524.7 |                    737.3 |     70.7 |      68.9 |      69.8 |      61.1 |      58.4 |      59.7 |
